A16N,74DI20110715,DISCOVERY,2011-07-15  to  2011-08-04,Brian A.King,UK,SOC,A16N_11
A16N,33RO20130803,RONALD H. BROWN,03/08/2013,Baringer&Bullister,USA,AOML/PMEL,A16N_13
ANAS2,316N19810416,KNORR,1981-04-16  to  1981-05-10,J. L.Sarmiento,USA,Princeton  University,ANAS2
ANAS3,316N19810516,KNORR,1981-05-16  to  1981-06-14,Laurence Armi,USA,Scripps  CTD  Group,ANAS3
ANAS4,316N19810619,KNORR,1981-06-19  to  1981-07-14,Wallace Broecker,USA,Scripps  CTD  Group,ANAS4
ANAS5,316N19810721,KNORR,1981-07-21  to  1981-08-14,Taro Takahashi,USA,Scripps CTD Group,ANAS5
ANAS6,316N19810821,KNORR,1981-08-21  to  1981-09-17,Will. J.Jenkins,USA,WHOI,ANAS6
ANAS7,316N19810923,KNORR,1981-09-23  to  1981-10-19,Peter Brewer,USA,MBARI,ANAS7
AR01,31RBOACES24,RONALD H. BROWN,1998-01-23 to 1998-02-24,Bitterman & Lee,USA,AOML/PUST,AR01_98
AR07E,64PE20070830,PELAGIA,2007-08-30  to  2007-09-27,Geert-J. Brummer,NTH,NIOZ,AR07E07
AR07E,64PE20050907,PELAGIA,2005-09-07  to  2005-10-05,C. Veth,NTH,NIOZ,AR07E05
AR07W,18HU19990627,HUDSON,1999-06-27  to  1999-07-13,R.Allyn Clarke,CAN,BIO,AR07W99
AR21,3175MB91,MALCOLM BALDRIGE,1991-07-11  to  1991-08-05,Donald K.Atwood,USA,AOML,AR21_91
AR21,3175MB93,MALCOLM BALDRIGE,1993-07-04  to  1993-08-30,Wanninkhof&Atwood,USA,AOML,AR21_93
AR25,06MT45_4,METEOR,1999-08-13  to  1999-08-31,Jens Meincke,GER,IFM Hamburg,AR25_99
CLMD2,33AT20060118,ATLANTIS,2006-01-18 to 2006-01-31,Terrence M.Joyce,USA,WHOI,CLMD2
GT10,316N20101015,KNORR,2010-10-15 to 2010-11-05,W.J.Jenkins,USA,WHOI,GT10
GT11,316N20111106,KNORR,2011-11-06 to 2011-12-11,Edward Boyle,USA,MIT/WHOI,GT11
A05,74DI20100106,DISCOVERY,2010-01-06  to  2010-02-18,Brian A.King,UK,SOC,A05_10
A20,316N200309,KNORR,2003-09-22  to  2003-10-20,Toole&MacDonald,USA,WHOI,A20_03
A20,33AT20120419,ATLANTIS,2012-04-19  to  2012-05-15,Mich. McCartney,USA,WHOI,A20_12
A22,33AT20120324,ATLANTIS,2012-03-24  to  2012-04-17,Ruth Curry,USA,WHOI,A22_12
AR03,90KDAI08,AKADEMIK  IOFFE,2000-07-13  to  2000-07-28,Alexey Sokov,RUS,P.P. SIO Russian Academy of Sciences,AR03_00
AR10,32OC254_3,OCEANUS,1992-10-29  to  1992-11-16,Neil S.Oakey,USA,BIO,AR10_92B
AR11,90MD46_1,D. MENDELEEV,1991-09-26  to  1991-11-01,Victor Zhurbas,RUS,P.P. SIO Academy of Sciences,AR11_91C
AR11,90P431_1,PROFESSOR SHTOKMAN,1993-10-11  to  1993-10-23,Yuri A.Ivanov,RUS,P.P. SIO Russian Academy of Sciences,AR11_93B
A07E,45CE20100209,Celtic Explorer,2010-02-09  to  2010-02-16,McGrath,IRL,Marine Institute,A07E_10
A09.5,740H20090307,JAMES COOK,2009-03-07  to  2009-04-21,Brian A.King,UK,SOC,A09_5_09
A10,49NZ20031106,MIRAI,2003-11-06  to  2003-12-05,Y. Yoshikawa,JPN,JAMSTEC,A10_03
A10,49NZ20031106,MIRAI,2003-11-06  to  2003-12-05,Y. Yoshikawa,JPN,JAMSTEC,A10X_03
A10,33RO20110926,RONALD H. BROWN,2011-09-26  to  2011-10-31,Baringer&MacDonald,USA,AOML/WHOI,A10_11
A13.5,33RO20100308,RONALD H. BROWN,2010-03-08  to  2010-04-17,J.L.Bullister,USA,PMEL,A13_5_10
A16S,33RO200501,RONALD H. BROWN,2005-01-11  to  2005-02-24,Wanninkhof&Doney,USA,AOML/WHOI,A16S_05
A16S,33RO20131223,RONALD H. BROWN,2013-12-23  to  2014-02-04,Wanninkhof&Barbero,USA,AOML,A16S_14
AR04,06BE200011,SONNE,2000-11-28  to  2000-12-27,Monika Rhein,GER,IFUO Bremen,AR04_00
AR04,06MT20050813,METEOR,2005-08-13  to  2005-09-19,Monika Rhein,GER,IFUO Bremen,AR04_05
AR08,08BD0394_1,OCA  BALDA,1994-03-06  to  1994-03-07,Alberto R.Piola,ARG,SHN,AR08_94A
AR08,08PD0196_1,PUERTO  DESEADO,1996-03-27  to  1996-04-07,Alberto R.Piola,ARG,SHN,AR08_96
AR09,32309308_1,MAURICE  EWING,1993-10-24  to  1993-11-11,Silvia Garzoli,USA,AOML,AR09_93B
AR09,91AF105,AFRICANA,1992-06-16  to  1992-07-05,Bailey&Silvia Garzoli,SA,AOML,AR09_92
AR15,06MT41_3,METEOR,1998-04-17  to  1998-05-17,Walter Zenk,GER,IFMKiel,AR15_98
LINE_W,32OC20080510,OCEANUS,2008-05-10 to 2008-05-23,John Toole,USA,WHOI,LINE_W
AR07W,18HU2001022_1,HUDSON,2001-05-30 to 2001-06-15,R. Allyn Clarke,CAN,BIO,AR07W01
AR07W,18HU20021129,HUDSON,2002-11-29 to 2002-12-09,Erica Head,CAN,OSD,AR07W02B
AR07W,18HU20070510,HUDSON,2007-05-10 to 2010-05-27,Ross M.Hendry,CAN,BIO,AR07W07
AR07W,18HU20080520,HUDSON,2008-05-20 to 2008-06-04,Glen Harrison,CAN,BIO,AR07W08
AR07W,18HU20090517,HUDSON,2009-05-17 to 2009-06-01,Ross M.Hendry,CAN,BIO,AR07W09
AR07W,18HU20100513,HUDSON,2010-05-13 to 2010-05-30,Glen Harrison,CAN,BIO,AR07W10
AR07W,18HU20110506,HUDSON,2011-05-06 to 2011-05-29,Igor Yashayaev,CAN,BIO,AR07W11
DIMES_U,74JC20130319,James Clark Ross,2013-05-01,Inconnu, UK,Inconnu, DIMES_UK4
A12,06AQ20101128,POLARSTERN,2010-11-28 to 2011-02-05,E. Fahrbach,GER,AWI,A12_10
AR06/AR16,07AL692_1,VON HUMBOLDT,1992-09-02 to 1992-09-26,Eberhard Hagen,GER
AR10,32OC254_2,OCEANUS,1992-09-21 to 1992-10-21,James R. Ledwell,USA
AR21,3175MB91_2,MALCOLM BALDRIGE,1991-08-13 to 1991-09-02,Alex Pszenny,USA
AR21,3175MB91,MALCOLM BALDRIGE,1991-07-11 to 1991-08-05,Donald K. Atwood,USA
AR26,06PO202_1,POSEIDON,1994-09-01 to 1994-09-14,Thomas J. Mueller,GER
AR26,06PO212_1,POSEIDON,1995-09-12 to 1995-10-29,Thomas J. Mueller,GER
ARS01,33H420071020,Atlantic Explorer,2007-10-20 to 2007-11-01,Steve Bell,BM,UNKNOW,ARS01_07
ARS01,33H420081015,Atlantic Explorer,2008-10-15 to 2008-10-29,Steve Bell,BM,UNKNOW,ARS01_08
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,ARS01_09
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,HYDROS_ARS01_09
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,BATSCR_ARS01_09
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,ARS01_10
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,HYDROS_ARS01_10
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,BATSCR_ARS01_10
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,BATSCR_ARS01_11
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,HYDROS_MONO
ARS01,33H420090207,Atlantic Explorer,2009-02-07 to 2009-02-07,Steve Bell,BM,UNKNOW,bats_MONO